set_id,candidate_id,raw_rm_score,rm_probability,evidence_score_legacy,rubric_score_legacy,contradiction_fraction_legacy,hard_fail_legacy,verifier_score_legacy,hybrid_score_legacy,legacy_verifier_label,legacy_error,score_version,status
PLT001,PLT001-C1,2.77734375,0.4813386062640096,0.0,1.0,0.0,false,0.55,0.5088031637584058,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT001,PLT001-C2,1.7548828125,0.17314165042667912,0.0,1.0,0.0,false,0.55,0.3238849902560075,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT001,PLT001-C3,1.5078125,0.13523847960355911,0.0,1.0,0.0,false,0.55,0.3011430877621355,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT001,PLT001-C4,1.94921875,0.2102812637057521,0.0,0.9,0.0,false,0.49500000000000005,0.32416875822345126,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT002,PLT002-C1,3.9296875,0.07733948306788344,0.0,0.7,0.0,false,0.385,0.2004036898407301,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT002,PLT002-C2,6.2890625,0.8185869337810906,0.0,0.7,0.0,false,0.385,0.6451521602686543,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT002,PLT002-C3,3.5546875,0.053154597539792216,0.0,0.6,0.0,false,0.33,0.16389275852387533,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT002,PLT002-C4,3.51171875,0.05091898561123375,0.0,0.9,0.0,false,0.49500000000000005,0.2285513913667403,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT003,PLT003-C1,3.263671875,0.029242891585455698,0.0,1.0,0.0,false,0.55,0.23754573495127346,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT003,PLT003-C2,4.765625,0.13131376951153728,0.25,0.9,0.0,false,0.6075,0.3217882617069224,aligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT003,PLT003-C3,2.43359375,0.012750345846134787,0.2,1.0,0.0,false,0.64,0.26365020750768087,aligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT003,PLT003-C4,6.60546875,0.8266929930568724,0.0,0.9,0.0,false,0.49500000000000005,0.6940157958341234,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT004,PLT004-C1,3.841796875,0.09985269475846237,0.5,0.9,0.0,false,0.7200000000000001,0.34791161685507743,aligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT004,PLT004-C2,1.2841796875,0.0077375017181404,0.3333333333333333,0.6,0.0,false,0.48,0.19664250103088424,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT004,PLT004-C3,5.85546875,0.7479737790128411,0.2,0.9,0.0,false,0.5850000000000001,0.6827842674077047,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT004,PLT004-C4,4.2109375,0.1444360245105561,0.5,0.8,0.0,false,0.665,0.35266161470633367,aligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT005,PLT005-C1,0.708984375,0.08082179503554635,0.0,0.5,0.0,false,0.275,0.1584930770213278,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT005,PLT005-C2,2.265625,0.3833265721609169,0.0,0.2,0.0,true,0.0,0.0,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT005,PLT005-C3,1.7861328125,0.23731659823253728,0.0,0.7,0.0,false,0.385,0.29638995893952236,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT005,PLT005-C4,2.015625,0.2985350345709995,0.0,0.4,0.0,true,0.0,0.0,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT006,PLT006-C1,1.7451171875,0.22185641927924363,0.16666666666666666,0.4,0.0,true,0.0,0.0,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
PLT006,PLT006-C2,1.2861328125,0.14019664407681845,0.0,0.4,0.0,true,0.0,0.0,misaligned,,legacy_v1_deprecated,diagnostic_only_not_recomputed
